symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
INFY,SHORT,33,2025-08-01 09:30:00+05:30,1490.3528,2025-08-01 12:30:00+05:30,1472.3194,59510,6450,53060,"EMA20 crossed below EMA50, price below EMA200",target
HDFCBANK,SHORT,49,2025-08-01 11:30:00+05:30,1006.6979,2025-08-01 15:15:00+05:30,1006.1017,2921,6458,-3537,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
ICICIBANK,SHORT,33,2025-08-01 11:30:00+05:30,1472.858,2025-08-01 15:15:00+05:30,1471.3413,5005,6433,-1428,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
RELIANCE,SHORT,35,2025-08-05 11:00:00+05:30,1396.381,2025-08-05 15:15:00+05:30,1394.0181,8270,6442,1828,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
TCS,SHORT,16,2025-08-06 11:30:00+05:30,3029.091,2025-08-06 15:15:00+05:30,3035.9105,-10911,6430,-17341,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
HDFCBANK,SHORT,50,2025-08-08 11:15:00+05:30,989.5031,2025-08-08 15:15:00+05:30,986.6959,14036,6463,7573,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
TCS,SHORT,16,2025-08-11 09:45:00+05:30,3026.4918,2025-08-11 10:30:00+05:30,3045.5438,-30483,6430,-36913,"EMA20 crossed below EMA50, price below EMA200",stop-loss
HDFCBANK,SHORT,50,2025-08-12 13:15:00+05:30,990.1029,2025-08-12 15:15:00+05:30,985.2955,24037,6463,17574,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
INFY,SHORT,35,2025-08-13 09:45:00+05:30,1424.5725,2025-08-13 15:15:00+05:30,1426.3278,-6143,6479,-12622,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
HDFCBANK,LONG,50,2025-08-14 09:30:00+05:30,993.8981,2025-08-14 15:15:00+05:30,995.1014,6017,6475,-458,"EMA20 crossed above EMA50, price above EMA200",intraday square-off
INFY,SHORT,34,2025-08-18 12:30:00+05:30,1432.2702,2025-08-18 15:15:00+05:30,1435.7306,-11765,6437,-18202,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
HDFCBANK,SHORT,50,2025-08-19 14:15:00+05:30,994.5016,2025-08-19 15:15:00+05:30,995.8987,-6986,6474,-13460,"EMA20 crossed below EMA50, price below EMA200",intraday square-off
