symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
TCS,SHORT,16,2025-08-08 09:30:00+05:30,3036.7887,2025-08-08 09:45:00+05:30,3052.527,-25181,6435,-31616,downtrend rally: RSI 68.4->54.9 crossed 65.0,stop-loss
RELIANCE,SHORT,36,2025-08-08 09:30:00+05:30,1388.0834,2025-08-08 10:45:00+05:30,1375.3103,45983,6478,39505,downtrend rally: RSI 65.1->59.9 crossed 65.0,target
INFY,SHORT,35,2025-08-08 09:30:00+05:30,1424.6725,2025-08-08 15:15:00+05:30,1421.4263,11362,6478,4884,downtrend rally: RSI 66.3->44.6 crossed 65.0,intraday square-off
ICICIBANK,SHORT,35,2025-08-12 09:30:00+05:30,1427.2717,2025-08-12 15:15:00+05:30,1421.8264,19058,6480,12578,downtrend rally: RSI 68.5->44.4 crossed 65.0,intraday square-off
RELIANCE,LONG,35,2025-08-22 10:15:00+05:30,1421.1262,2025-08-22 11:00:00+05:30,1414.2275,-24145,6466,-30611,uptrend pullback: RSI 34.3->41.8 crossed 35.0,stop-loss
TCS,LONG,16,2025-08-22 11:30:00+05:30,3072.0213,2025-08-22 14:30:00+05:30,3057.4215,-23360,6445,-29805,uptrend pullback: RSI 30.0->36.3 crossed 35.0,stop-loss
INFY,LONG,32,2025-08-28 09:45:00+05:30,1516.4548,2025-08-28 10:00:00+05:30,1506.1636,-32932,6422,-39354,uptrend pullback: RSI 33.1->37.9 crossed 35.0,stop-loss
TCS,LONG,16,2025-08-28 10:45:00+05:30,3124.237,2025-08-28 12:15:00+05:30,3106.6617,-28120,6475,-34595,uptrend pullback: RSI 30.7->41.8 crossed 35.0,stop-loss
RELIANCE,SHORT,36,2025-09-02 10:30:00+05:30,1376.6869,2025-09-02 15:15:00+05:30,1367.11,34477,6464,28013,downtrend rally: RSI 67.8->64.7 crossed 65.0,intraday square-off
ICICIBANK,SHORT,35,2025-09-08 10:00:00+05:30,1400.8796,2025-09-08 13:00:00+05:30,1407.717,-23931,6450,-30381,downtrend rally: RSI 65.3->53.4 crossed 65.0,stop-loss
TCS,SHORT,16,2025-09-09 10:00:00+05:30,3048.6851,2025-09-09 15:15:00+05:30,3050.5149,-2928,6439,-9367,downtrend rally: RSI 69.8->62.8 crossed 65.0,intraday square-off
INFY,LONG,33,2025-09-11 10:30:00+05:30,1513.854,2025-09-11 15:15:00+05:30,1509.2471,-15203,6477,-21680,uptrend pullback: RSI 33.4->39.3 crossed 35.0,intraday square-off
HDFCBANK,LONG,51,2025-09-16 09:45:00+05:30,966.3398,2025-09-16 15:15:00+05:30,966.6599,1633,6456,-4823,uptrend pullback: RSI 33.0->42.0 crossed 35.0,intraday square-off
INFY,LONG,32,2025-09-19 10:15:00+05:30,1529.4587,2025-09-19 12:00:00+05:30,1521.0362,-26952,6438,-33390,uptrend pullback: RSI 32.5->37.8 crossed 35.0,stop-loss
TCS,LONG,15,2025-09-19 10:00:00+05:30,3157.1469,2025-09-19 15:15:00+05:30,3166.1499,13505,6393,7112,uptrend pullback: RSI 33.5->38.5 crossed 35.0,intraday square-off
INFY,SHORT,33,2025-09-22 09:30:00+05:30,1503.5488,2025-09-22 14:00:00+05:30,1492.0475,37954,6465,31489,downtrend rally: RSI 71.1->32.1 crossed 65.0,RSI 29.7 <= 30.0
ICICIBANK,SHORT,35,2025-09-22 13:30:00+05:30,1406.5779,2025-09-22 14:30:00+05:30,1400.9659,19642,6454,13188,downtrend rally: RSI 65.5->55.1 crossed 65.0,target
INFY,SHORT,33,2025-09-25 10:00:00+05:30,1498.6503,2025-09-25 12:30:00+05:30,1489.0154,31795,6460,25335,downtrend rally: RSI 71.4->61.5 crossed 65.0,target
RELIANCE,SHORT,36,2025-10-01 10:00:00+05:30,1374.3876,2025-10-01 13:15:00+05:30,1365.3127,32670,6461,26209,downtrend rally: RSI 65.2->59.3 crossed 65.0,target
RELIANCE,SHORT,36,2025-10-06 12:00:00+05:30,1366.19,2025-10-06 13:00:00+05:30,1371.9664,-20795,6455,-27250,downtrend rally: RSI 66.4->56.7 crossed 65.0,stop-loss
HDFCBANK,LONG,51,2025-10-08 11:30:00+05:30,976.3928,2025-10-08 15:15:00+05:30,977.9065,7720,6478,1242,uptrend pullback: RSI 33.8->37.1 crossed 35.0,intraday square-off
