symbol,side,qty,entry_time,entry_price,exit_time,exit_price,gross_pnl_paise,costs_paise,net_pnl_paise,entry_reason,exit_reason
RELIANCE,LONG,35,2025-08-01 13:30:00+05:30,1404.3212,2025-08-01 15:15:00+05:30,1391.7823,-43886,6440,-50326,Supertrend flipped up,intraday square-off
HDFCBANK,SHORT,49,2025-08-01 09:30:00+05:30,1007.0978,2025-08-01 15:15:00+05:30,1006.1017,4881,6459,-1578,Supertrend flipped down,intraday square-off
TCS,LONG,16,2025-08-04 11:15:00+05:30,3022.9066,2025-08-04 13:00:00+05:30,3036.5403,21814,6432,15382,Supertrend flipped up,target
INFY,LONG,33,2025-08-04 14:00:00+05:30,1479.0436,2025-08-04 15:15:00+05:30,1480.0558,3340,6441,-3101,Supertrend flipped up,intraday square-off
RELIANCE,SHORT,35,2025-08-05 09:30:00+05:30,1400.0798,2025-08-05 13:00:00+05:30,1392.0515,28099,6446,21653,Supertrend flipped down,target
TCS,SHORT,16,2025-08-05 10:15:00+05:30,3050.7845,2025-08-05 15:15:00+05:30,3068.1202,-27737,6442,-34179,Supertrend flipped down,intraday square-off
ICICIBANK,LONG,34,2025-08-06 09:45:00+05:30,1452.4356,2025-08-06 15:15:00+05:30,1441.3675,-37632,6450,-44082,Supertrend flipped up,intraday square-off
HDFCBANK,LONG,50,2025-08-07 12:15:00+05:30,995.2985,2025-08-07 15:15:00+05:30,997.4007,10511,6478,4033,Supertrend flipped up,intraday square-off
RELIANCE,SHORT,36,2025-08-08 11:00:00+05:30,1372.0882,2025-08-08 15:15:00+05:30,1367.01,18282,6460,11822,Supertrend flipped down,intraday square-off
ICICIBANK,SHORT,34,2025-08-11 09:30:00+05:30,1429.471,2025-08-11 12:30:00+05:30,1422.3063,24360,6432,17928,Supertrend flipped down,target
RELIANCE,LONG,36,2025-08-11 14:15:00+05:30,1379.3137,2025-08-11 15:00:00+05:30,1387.3167,28811,6478,22333,Supertrend flipped up,target
HDFCBANK,LONG,50,2025-08-11 09:30:00+05:30,993.498,2025-08-11 15:00:00+05:30,998.2433,23727,6479,17248,Supertrend flipped up,target
TCS,SHORT,16,2025-08-11 09:30:00+05:30,3025.9919,2025-08-11 15:15:00+05:30,3040.912,-23872,6429,-30301,Supertrend flipped down,intraday square-off
HDFCBANK,SHORT,50,2025-08-12 11:15:00+05:30,989.1032,2025-08-12 15:00:00+05:30,984.6492,22270,6461,15809,Supertrend flipped down,target
RELIANCE,SHORT,36,2025-08-12 14:15:00+05:30,1380.3858,2025-08-12 15:15:00+05:30,1381.8144,-5143,6473,-11616,Supertrend flipped down,intraday square-off
ICICIBANK,SHORT,35,2025-08-12 11:00:00+05:30,1424.5725,2025-08-12 15:15:00+05:30,1421.8264,9611,6478,3133,Supertrend flipped down,intraday square-off
HDFCBANK,LONG,50,2025-08-13 14:15:00+05:30,991.3973,2025-08-13 15:15:00+05:30,990.1029,-6472,6465,-12937,Supertrend flipped up,intraday square-off
INFY,LONG,34,2025-08-14 09:30:00+05:30,1451.0352,2025-08-14 10:30:00+05:30,1459.9973,30471,6467,24004,Supertrend flipped up,target
